"Time Series Data"
"DBKEY","STATION","TYPE","UNITS","FQ","STAT","STRATA","OPNUM","RCDR","AGENCY","START","END","CNTY","LAT","LONG","SEC","TWP","RNG","ALTERNATE ID"
"91472","S29_S","FLOW","cfs","DA","MEAN","0","","DRV","WMD","1985","2025","DAD","255544","800905","16","52","42","S29-S-Q",
 
"Station","DBKEY","Daily Date","Data Value","Qualifier","Revision Date"
"S29_S","91472","10-JUN-1986","522.88","","15-OCT-2019"
"S29_S","91472","11-JUN-1986","","M","14-JUN-2017"
"S29_S","91472","12-JUN-1986","438.54","","15-OCT-2019"
"S29_S","91472","13-JUN-1986","","M","14-JUN-2017"
"S29_S","91472","14-JUN-1986","","M","14-JUN-2017"
"S29_S","91472","15-JUN-1986","800.16","","15-OCT-2019"
"S29_S","91472","16-JUN-1986","855.38","","15-OCT-2019"
"S29_S","91472","17-JUN-1986","839.78","","15-OCT-2019"
"S29_S","91472","18-JUN-1986","708.82","","15-OCT-2019"
"S29_S","91472","19-JUN-1986","","M","14-JUN-2017"
"S29_S","91472","20-JUN-1986","749.41","","15-OCT-2019"
"S29_S","91472","21-JUN-1986","691.44","","15-OCT-2019"
"S29_S","91472","22-JUN-1986","725.39","","15-OCT-2019"
"S29_S","91472","23-JUN-1986","727.32","E","15-OCT-2019"
"S29_S","91472","24-JUN-1986","787.41","","15-OCT-2019"
"S29_S","91472","25-JUN-1986","","M","14-JUN-2017"
"S29_S","91472","26-JUN-1986","693.91","","15-OCT-2019"
"S29_S","91472","27-JUN-1986","646.37","E","15-OCT-2019"
"S29_S","91472","28-JUN-1986","612.96","","15-OCT-2019"
"S29_S","91472","29-JUN-1986","","M","14-JUN-2017"
"S29_S","91472","30-JUN-1986","638.25","","15-OCT-2019"
"S29_S","91472","01-JUL-1986","719.01","","15-OCT-2019"
"S29_S","91472","02-JUL-1986","","M","14-JUN-2017"
"S29_S","91472","03-JUL-1986","","M","14-JUN-2017"
"S29_S","91472","04-JUL-1986","","M","14-JUN-2017"
"S29_S","91472","05-JUL-1986","","M","14-JUN-2017"
"S29_S","91472","06-JUL-1986","","M","14-JUN-2017"
"S29_S","91472","07-JUL-1986","","M","14-JUN-2017"
"S29_S","91472","08-JUL-1986","","M","14-JUN-2017"
"S29_S","91472","09-JUL-1986","877.78","","15-OCT-2019"
